Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OP estimation	GFLOP/S achieved	Op name	Device	Input/output tensors
173	      6.2	      1.0	      6.2	      0.0	  52279.2	     99.7	        0	    0.000	Identity	GPU-0	(1x17x17x384)->(1x17x17x384)
174	      3.1	      2.0	      6.2	      0.0	  52285.3	     99.7	        0	    0.000	Const	GPU-0	(no input)->(7x1x128x128)
175	      6.2	      1.0	      6.2	      0.0	  52291.5	     99.7	        0	    0.000	NoOp	CPU-0	(no input)->(no output info)
176	      3.0	      2.0	      5.9	      0.0	  52297.4	     99.7	        0	    0.000	Const	GPU-0	(no input)->(1x7x128x128)
177	      5.6	      1.0	      5.6	      0.0	  52303.0	     99.7	        0	    0.000	Relu	GPU-0	(1x17x17x384)->(1x17x17x384)
178	      2.7	      2.0	      5.5	      0.0	  52308.5	     99.7	        0	    0.000	Const	GPU-0	(no input)->(1x7x160x192)
179	      5.4	      1.0	      5.4	      0.0	  52314.0	     99.8	        0	    0.000	ExpandDims	GPU-0	(100x100x3)(int32 1x1)->(1x100x100x3)
180	      2.7	      2.0	      5.4	      0.0	  52319.3	     99.8	        0	    0.000	Const	GPU-0	(no input)->(7x1x160x192)
181	      5.2	      1.0	      5.2	      0.0	  52324.5	     99.8	   268203	   51.677	Sub	GPU-0	(1x299x299x3)(1x1)->(1x299x299x3)
182	      2.6	      2.0	      5.2	      0.0	  52329.7	     99.8	        0	    0.000	Const	GPU-0	(no input)->(int32 2x1)
183	      2.5	      2.0	      5.0	      0.0	  52334.8	     99.8	        0	    0.000	Const	GPU-0	(no input)->(3x3x448x384)
184	      5.0	      1.0	      5.0	      0.0	  52339.8	     99.8	   268203	   53.534	Mul	GPU-0	(1x299x299x3)(1x1)->(1x299x299x3)
185	      2.5	      2.0	      5.0	      0.0	  52344.8	     99.8	        0	    0.000	Relu	GPU-0	(1x8x8x448)->(1x8x8x448)
186	      2.4	      2.0	      4.7	      0.0	  52349.5	     99.8	        0	    0.000	Const	GPU-0	(no input)->(int32 1x1)
187	      2.3	      2.0	      4.7	      0.0	  52354.2	     99.8	        0	    0.000	Const	GPU-0	(no input)->(1x1x192x64)
188	      2.1	      2.0	      4.2	      0.0	  52358.4	     99.8	        0	    0.000	Const	GPU-0	(no input)->(1x1)
189	      4.1	      1.0	      4.1	      0.0	  52362.5	     99.8	        0	    0.000	Reshape	GPU-0	(1x1x1x2048)(int32 2x1)->(1x2048)
190	      3.7	      1.0	      3.7	      0.0	  52366.2	     99.9	        0	    0.000	_Retval	CPU-0	(1x1008)->(no output info)
191	      3.6	      1.0	      3.6	      0.0	  52369.8	     99.9	        0	    0.000	Const	GPU-0	(no input)->(1x1x2048x192)
192	      3.5	      1.0	      3.5	      0.0	  52373.3	     99.9	        0	    0.000	Const	GPU-0	(no input)->(2048x1008)
193	      3.4	      1.0	      3.4	      0.0	  52376.7	     99.9	        0	    0.000	Const	GPU-0	(no input)->(1x7x128x192)
194	      3.2	      1.0	      3.2	      0.0	  52379.9	     99.9	        0	    0.000	MEMCPYHtoD	GPU-0	(Transfer)->(30000 bytes)
195	      3.1	      1.0	      3.1	      0.0	  52383.0	     99.9	        0	    0.000	Const	GPU-0	(no input)->(7x1x128x192)
196	      3.0	      1.0	      3.0	      0.0	  52386.0	     99.9	        0	    0.000	Const	GPU-0	(no input)->(1008x1)
197	      2.8	      1.0	      2.8	      0.0	  52388.7	     99.9	        0	    0.000	Relu	GPU-0	(1x35x35x32)->(1x35x35x32)
198	      2.7	      1.0	      2.7	      0.0	  52391.5	     99.9	        0	    0.000	Const	GPU-0	(no input)->(3x3x192x320)
199	      2.7	      1.0	      2.7	      0.0	  52394.2	     99.9	        0	    0.000	Const	GPU-0	(no input)->(1x1x1280x320)
200	      2.6	      1.0	      2.6	      0.0	  52396.8	     99.9	        0	    0.000	Const	GPU-0	(no input)->(3x3x32x64)
201	      2.6	      1.0	      2.6	      0.0	  52399.3	     99.9	        0	    0.000	Const	GPU-0	(no input)->(3x3x32x32)
202	      2.6	      1.0	      2.6	      0.0	  52401.9	     99.9	        0	    0.000	Const	GPU-0	(no input)->(3x3x3x32)
203	      2.5	      1.0	      2.5	      0.0	  52404.4	     99.9	        0	    0.000	Const	GPU-0	(no input)->(1x1x2048x384)
204	      2.5	      1.0	      2.5	      0.0	  52406.9	     99.9	        0	    0.000	Const	GPU-0	(no input)->(1x1x1280x384)
205	      2.5	      1.0	      2.5	      0.0	  52409.4	     99.9	        0	    0.000	Const	GPU-0	(no input)->(1x1x256x48)
206	      2.5	      1.0	      2.5	      0.0	  52411.8	     99.9	        0	    0.000	Const	GPU-0	(no input)->(1x1x192x32)
207	      2.4	      1.0	      2.4	      0.0	  52414.2	     99.9	        0	    0.000	Const	GPU-0	(no input)->(1x1x64x80)
208	      2.4	      1.0	      2.4	      0.0	  52416.6	    100.0	        0	    0.000	Const	GPU-0	(no input)->(1x1x1280x192)
209	      2.4	      1.0	      2.4	      0.0	  52419.0	    100.0	        0	    0.000	Cast	GPU-0	(uint8 100x100x3)->(100x100x3)
210	      2.4	      1.0	      2.4	      0.0	  52421.4	    100.0	        0	    0.000	Const	GPU-0	(no input)->(1x1x192x48)
211	      2.3	      1.0	      2.3	      0.0	  52423.7	    100.0	        0	    0.000	Const	GPU-0	(no input)->(1x1x288x48)
212	      2.3	      1.0	      2.3	      0.0	  52426.0	    100.0	        0	    0.000	Const	GPU-0	(no input)->(1x1x2048x320)
213	      2.3	      1.0	      2.3	      0.0	  52428.3	    100.0	        0	    0.000	Const	GPU-0	(no input)->(3x3x192x192)
214	      2.3	      1.0	      2.3	      0.0	  52430.6	    100.0	        0	    0.000	Const	GPU-0	(no input)->(1x1x2048x448)
215	      2.3	      1.0	      2.3	      0.0	  52432.9	    100.0	        0	    0.000	Const	GPU-0	(no input)->(1x1x1280x448)
216	      2.3	      1.0	      2.3	      0.0	  52435.1	    100.0	        0	    0.000	Const	GPU-0	(no input)->(3x3x288x384)
217	      2.2	      1.0	      2.2	      0.0	  52437.4	    100.0	        0	    0.000	Const	GPU-0	(no input)->(3x3x80x192)
218	      2.1	      1.0	      2.1	      0.0	  52439.5	    100.0	     1008	    0.469	BiasAdd	GPU-0	(1x1008)(1008x1)->(1x1008)
219	      1.9	      1.0	      1.9	      0.0	  52441.4	    100.0	        0	    0.000	Relu	GPU-0	(1x17x17x96)->(1x17x17x96)
220	      1.0	      1.0	      1.0	      0.0	  52442.4	    100.0	        0	    0.000	MEMCPYDtoH	GPU-0	(Transfer)->(4032 bytes)
